country,iso3,innovation_level
Austria,AUT,Strong
Belgium,BEL,Strong
Bulgaria,BGR,Emerging
Croatia,HRV,Emerging
Cyprus,CYP,Strong
Czechia,CZE,Moderate
Denmark,DNK,Leader
Estonia,EST,Strong
Finland,FIN,Leader
France,FRA,Strong
Germany,DEU,Strong
Greece,GRC,Moderate
Hungary,HUN,Moderate
Ireland,IRL,Strong
Italy,ITA,Moderate
Latvia,LVA,Emerging
Lithuania,LTU,Moderate
Luxembourg,LUX,Strong
Malta,MLT,Moderate
Netherlands,NLD,Leader
Poland,POL,Emerging
Portugal,PRT,Moderate
Romania,ROU,Emerging
Slovakia,SVK,Emerging
Slovenia,SVN,Moderate
Spain,ESP,Moderate
Sweden,SWE,Leader
